circle,cluster,Time,Attempt,Answered,CSSR,ASR,Day_of_week,Hour
Andhra Pradesh,cluster 1,2023-06-27-00,515378,247413,99.79,47.61,Tuesday,0
Andhra Pradesh,cluster 1,2023-06-27-01,253160,121587,99.77,47.65,Tuesday,1
Andhra Pradesh,cluster 1,2023-06-27-02,163200,77928,99.72,47.35,Tuesday,2
Andhra Pradesh,cluster 1,2023-06-27-03,177094,83188,99.2,46.59,Tuesday,3
Andhra Pradesh,cluster 1,2023-06-27-04,288626,141959,99.73,48.78,Tuesday,4
Andhra Pradesh,cluster 1,2023-06-27-05,885947,449282,99.81,50.3,Tuesday,5
Andhra Pradesh,cluster 1,2023-06-27-06,2734370,1463000,99.81,53.02,Tuesday,6
Andhra Pradesh,cluster 1,2023-06-27-07,5147467,2869359,99.82,55.23,Tuesday,7
Andhra Pradesh,cluster 1,2023-06-27-08,7244496,4098522,99.82,56.07,Tuesday,8
Andhra Pradesh,cluster 1,2023-06-27-09,8680976,4902984,99.8,55.94,Tuesday,9
Andhra Pradesh,cluster 1,2023-06-27-10,9601795,5419683,99.78,55.89,Tuesday,10
Andhra Pradesh,cluster 1,2023-06-27-11,9635731,5454089,99.77,56.05,Tuesday,11
Andhra Pradesh,cluster 1,2023-06-27-12,9249989,5256837,99.78,56.27,Tuesday,12
Andhra Pradesh,cluster 1,2023-06-27-13,8508195,4832767,99.78,56.24,Tuesday,13
Andhra Pradesh,cluster 1,2023-06-27-14,7425367,4141854,99.78,55.21,Tuesday,14
Andhra Pradesh,cluster 1,2023-06-27-15,6854893,3976529,99.73,47.44,Tuesday,15
Andhra Pradesh,cluster 1,2023-06-27-16,5392408,3731294,99.73,47.51,Tuesday,16
Andhra Pradesh,cluster 1,2023-06-27-17,4675328,3045327,99.77,47.28,Tuesday,17
Andhra Pradesh,cluster 1,2023-06-27-18,3094562,2536542,99.76,47.66,Tuesday,18
Andhra Pradesh,cluster 1,2023-06-27-19,2065437,1746583,99.85,48.76,Tuesday,19
Andhra Pradesh,cluster 1,2023-06-27-20,1472693,953648,99.8,50.17,Tuesday,20
Andhra Pradesh,cluster 1,2023-06-27-21,962537,863427,99.8,52.96,Tuesday,21
Andhra Pradesh,cluster 1,2023-06-27-22,732436,631397,99.72,55.25,Tuesday,22
Andhra Pradesh,cluster 1,2023-06-27-23,605456,431397,99.82,56.11,Tuesday,23
Andhra Pradesh,cluster 1,2023-06-28-00,515378,247468,99.74,55.95,Wednesday,0
Andhra Pradesh,cluster 1,2023-06-28-01,253175,121617,99.81,55.93,Wednesday,1
Andhra Pradesh,cluster 1,2023-06-28-02,163277,77932,99.73,56.04,Wednesday,2
Andhra Pradesh,cluster 1,2023-06-28-03,177128,83271,99.75,56.31,Wednesday,3
Andhra Pradesh,cluster 1,2023-06-28-04,288660,141961,99.96,56.18,Wednesday,4
Andhra Pradesh,cluster 1,2023-06-28-05,885955,449303,99.89,55.17,Wednesday,5
Andhra Pradesh,cluster 1,2023-06-28-06,2734421,1463027,99.73,47.01,Wednesday,6
Andhra Pradesh,cluster 1,2023-06-28-07,5147474,2869372,99.89,47.22,Wednesday,7
Andhra Pradesh,cluster 1,2023-06-28-08,7244531,4098555,99.77,47.12,Wednesday,8
Andhra Pradesh,cluster 1,2023-06-28-09,8681014,4903009,99.73,47.87,Wednesday,9
Andhra Pradesh,cluster 1,2023-06-28-10,9601846,5419735,99.79,49.06,Wednesday,10
Andhra Pradesh,cluster 1,2023-06-28-11,9635737,5454134,99.81,50.23,Wednesday,11
Andhra Pradesh,cluster 1,2023-06-28-12,9250032,5256881,99.73,52.96,Wednesday,12
Andhra Pradesh,cluster 1,2023-06-28-13,8508282,4832775,99.76,55.28,Wednesday,13
Andhra Pradesh,cluster 1,2023-06-28-14,7425397,4141931,99.83,56.1,Wednesday,14
Andhra Pradesh,cluster 1,2023-06-28-15,6854935,3976608,99.89,55.98,Wednesday,15
Andhra Pradesh,cluster 1,2023-06-28-16,5392427,3731306,99.73,55.9,Wednesday,16
Andhra Pradesh,cluster 1,2023-06-28-17,4675384,3045394,99.77,56.07,Wednesday,17
Andhra Pradesh,cluster 1,2023-06-28-18,3094617,2536584,99.89,56.32,Wednesday,18
Andhra Pradesh,cluster 1,2023-06-28-19,2065536,1746664,99.76,56.24,Wednesday,19
Andhra Pradesh,cluster 1,2023-06-28-20,1472711,953697,99.73,55.18,Wednesday,20
Andhra Pradesh,cluster 1,2023-06-28-21,962575,863487,99.91,47.05,Wednesday,21
Andhra Pradesh,cluster 1,2023-06-28-22,732445,631422,99.77,46.97,Wednesday,22
Andhra Pradesh,cluster 1,2023-06-28-23,605524,431408,99.8,47.04,Wednesday,23
Andhra Pradesh,cluster 1,2023-06-29-00,515416,247486,99.26,48,Thursday,0
